TATACHEM,1113,1117,1077.5,1082.5,1111.95,-29.45
M&M,1339,1339,1294.25,1298.4,1337.55,-39.15
AUBANK,639.5,643,622,623.15,642.55,-19.4
CHOLAFIN,740,742.35,720.5,722,744.65,-22.65
MFSL,694.8,696.25,676.3,676.35,698.05,-21.7
AXISBANK,843.7,856.7,841,846.3,873.7,-27.4
ZOMATO,65.5,65.95,63.15,63.25,65.3,-2.05
OBEROIRLTY,888,892.7,852.25,879.3,910.85,-31.55
TATAMOTORS,420.5,420.55,409.2,413,433.15,-20.15
DELHIVERY,390.9,390.9,372.05,374.85,393.35,-18.5
BANKINDIA,76,77.5,72.55,73.15,76.95,-3.8
AUROPHARMA,536,539.2,507,512.9,541.4,-28.5
TIINDIA,2710,2710,2505,2523,2713.1,-190.1
RAMCOCEM,689,689,634.05,647,704.45,-57.45
DEEPAKNTR,2095,2149.9,2074,2092,2299,-207
